number,gender,month,day,year,textbooks,cigaretts,HSGPA,Height,mheight,shoe,breakfast,flight,play,vote,TV,exercise,veg,credit,car,caryear,miles,class
1,f,10,17,66,78,0,2,66,73,9,y,y,y,y,5,5,y,3,y,2008,12000,Senior
2,f,2,16,88,400,0,3.6,69,77,8.5,n,y,n,y,6,1,n,17,y,1997,165000,Junior
3,m,1,4,90,206,0,3.2,74,65,11,y,n,n,y,4,18,n,13,y,2005,47000,Sophomore
4,f,1,28,90,256,0,3.5,64,67,7.5,y,y,n,y,0,4,n,16,y,2000,110000,Sophomore
5,f,12,22,89,450,0,3.9,65,71,9.5,y,n,n,y,3,20,n,16,y,1998,217000,Freshman
6,f,3,23,88,398,0,3.8,64,68,9,y,n,y,y,10,3,n,15,y,2003,130000,Junior
7,f,12,30,87,785,0,2.5,63,69,7,y,n,y,y,2,3,n,17,y,2001,82500,Senior
8,f,2,2,90,400,0,3.7,63,72,8,n,n,y,y,5,5,n,15,y,2004,,Freshman
9,m,7,24,65,700,0,1.8,77,68,14,n,n,y,y,12,3,n,18,y,2004,78000,Freshman
10,m,10,26,88,300,0,2.9,74,72,12.5,y,y,n,y,3,4,n,18,y,2002,90000,Junior
11,m,4,8,89,450,0,3.9,74,69,11,y,n,n,y,15,2,n,16,y,2001,203000,Junior
12,f,3,24,89,200,0,3.6,74,77,12,y,n,n,n,4,20,n,15,y,2005,50000,Junior
13,f,8,24,90,340,0,3.63,66,74,6.5,y,n,n,y,1,2,n,17,y,2003,86000,Sophomore
14,f,6,21,90,500,0,3.9,68,74,10,n,y,n,y,2,1,n,16,y,2004,70000,Sophomore
15,f,9,10,90,400,0,3.6,63,67,8,y,n,n,y,1,0,n,16,n,,,Sophomore
16,f,8,10,86,400,0,4.8,65,72,9,y,y,y,y,4,5,n,18,y,2007,32000,Junior
17,m,8,13,90,657,0,3.5,76,69,15,n,n,y,y,10,13.5,n,16,y,1998,33000,Sophomore
18,f,4,25,89,140,0,3.75,62,66,7,y,n,n,y,1,5,n,16,y,2005,37000,Junior
19,m,10,26,89,400,0,3.8,73,68,13,n,n,n,y,0,5,n,16,y,2003,50000,Sophomore
20,m,3,6,89,550,0,3.8,70,67,11.5,n,n,n,n,7,5,n,13,y,2000,168000,Sophomore
21,f,3,23,88,200,0,,65,,6,y,n,n,y,10,7,n,13,y,2001,,
22,m,3,13,88,125,0,3.8,69,65,9,n,n,n,y,3,0,n,14,y,2006,45096,Sophomore
23,f,9,6,90,500,0,3.5,68,74,9,n,y,n,y,14,2,n,17,y,1996,148800,Sophomore
24,m,5,18,90,200,0,3.7,67,63,9,y,n,n,y,3,8,n,15,y,2004,57000,Sophomore
25,f,6,26,90,300,0,4,63,73,8,y,n,n,y,2,5,n,15,y,2006,35000,Sophomore
26,f,2,6,90,498,0,3.8,68,72,8.5,y,n,y,y,1,7,n,16,y,2003,150000,Sophomore
27,f,1,13,90,485,0,3.8,66,73,8,y,n,n,y,1,0,n,18,y,2002,67000,Sophomore
28,f,5,29,89,300,0,3.75,66,68,8,y,y,n,y,5,2,n,15,n,,,Sophomore
29,f,7,22,89,400,0,3.7,66,72,7,y,n,n,y,3,3,y,13,y,2006,58000,Sophomore
30,f,12,3,88,300,0,4,62,74,5,n,n,n,y,4,2,n,17,y,2003,67000,Sophomore
31,m,7,28,90,400,0,3.7,70,68,10.5,y,n,y,y,42,14,n,17,y,2004,50000,Sophomore
32,m,11,7,89,400,0,4.2,74.5,69,13,n,n,n,y,0,12,n,17,y,2003,57523,Sophomore
33,m,3,25,87,300,0,3.2,74,70,12,y,n,n,y,10,3,n,15,y,1997,98000,Junior
34,m,5,17,89,80,0,3.95,72,66,11.5,y,n,n,y,0,5,n,17,y,2000,181300,Junior
35,f,11,27,87,400,0,,62,69,7,y,y,n,y,5,5,n,18,y,2003,37000,
36,m,5,2,89,325,1,3.8,73,68,13,n,n,n,y,19,6,n,18,y,1989,94400,Junior
37,m,4,16,89,585,0,3.6,71,67,10.5,y,y,y,y,2,4,n,17,n,,,Sophomore
38,m,9,14,90,80,0,3.5,72,70,11.5,y,n,n,y,0,0,n,15,y,1997,,Sophomore
39,f,7,16,90,385,0,3.6,61,73,5,y,n,n,y,8,20,n,16,y,2002,78800,Sophomore
40,f,2,16,90,413,0,3.3,62,72,7,n,n,n,y,10,20,n,16,y,2000,,Sophomore
41,f,3,20,90,440,0,3.7,62,72,6.5,y,n,n,y,5,20,n,12,y,2002,74000,Sophomore
42,f,3,2,90,360,0,3.8,64,72,7,y,n,n,y,6,20,n,14,y,,40000,Sophomore
43,f,12,22,89,400,0,4,64,71,7.5,y,y,n,y,5,6,n,15,y,2003,30000,Freshman
44,f,4,21,90,450,0,3.9,61,68,6.5,y,n,y,y,7,3,n,15,y,2006,23000,Sophomore
45,m,6,5,90,400,0,3.9,71,65,11,y,n,n,y,7,12,n,14,y,1998,136000,Sophomore
46,f,1,13,90,600,0,3.9,70,72,10,y,n,n,y,3,2,n,15,y,1995,,Sophomore
47,f,8,29,89,300,0,3.72,65,72,8.5,y,y,n,n,15,20,n,16,y,2005,,Junior
48,f,7,5,90,400,0,4,64,74,9,n,n,n,y,2,20,n,15,y,2002,,Freshman
49,m,7,3,90,250,0,3.5,76,66,12.5,y,n,n,y,5,8,n,16,y,1997,170000,Sophomore
50,m,11,19,89,400,0,2.8,72,70,13,y,n,n,y,4,16,n,15,y,,150000,Sophomore
51,m,10,19,89,300,0,3,73,68,13,n,n,n,y,4,15,n,15,y,1995,114000,Freshman
52,m,2,2,89,619,0,3.82,70,64,12,n,n,n,y,8,7,n,16,y,,85000,Junior
53,m,1,20,88,32.09,0,3.4,73,62,11,n,n,n,y,6,10,n,14,y,1994,365000,Junior
54,f,2,25,89,346,0,4.1,67,72,9,y,n,y,y,10,0,n,16,y,2005,35000,Junior
55,f,10,17,90,500,0,4,68,76,10,y,n,n,y,4,3,n,15,y,2003,88000,Sophomore
56,m,3,27,79,400,0,3.5,71,66,11.5,y,n,n,y,1,6,n,15,y,2003,88000,Junior
57,f,3,20,88,200,0,3.64,67,64,11,y,n,n,y,12,0,n,15,n,,,Senior
58,f,1,23,90,400,0,,63,70,8,y,y,y,y,1,6,n,16,y,2001,69000,Sophomore
59,f,1,22,90,500,0,3,68,74,10,y,n,n,n,5,10,n,17,n,,,Freshman
60,m,9,10,89,755,0,4,74,66,11.5,y,n,n,y,8,6,n,16,y,2000,92000,Sophomore
61,m,8,31,87,0,6,3.1,71,66,10,n,n,n,y,10,3,n,13,y,1998,119000,Sophomore
62,f,3,20,90,0,0,4,64,73,8,y,y,y,y,1.5,10,n,16,y,2007,18000,Freshman
63,m,9,1,89,150,0,3.75,74,71,11.5,y,n,n,y,6,10,n,16,y,2000,96000,Sophomore
64,f,1,21,90,500,0,4,61,72,5,y,y,y,y,3,3,n,16,y,2009,20000,Freshman
65,f,9,9,90,300,0,4,65,72,11,y,n,y,n,8,4,n,16,y,1999,180000,Freshman
66,f,8,24,90,300,0,3.67,66,67,8,y,y,n,y,2,8,,15,n,,,Sophomore
67,f,10,31,88,300,0,4,66,75,6,y,n,y,y,6,8,n,18,y,1998,150000,Sophomore
68,f,12,18,89,350,0,3.9,63,71,7.5,y,n,n,y,6,4,n,17,y,2007,45000,Sophomore
69,f,5,4,90,300,0,3.8,67,74,8,y,n,n,y,6,4,n,16,y,2006,30000,Sophomore
70,f,12,27,88,0,0,3,62,69,9.5,y,y,y,y,15,17,n,12,y,2004,,Junior
71,f,1,13,90,500,0,4,63,71,8.5,y,n,n,y,4,2,n,15,y,2001,60000,Sophomore
72,f,10,28,88,800,0,3.6,63,75,7.5,y,n,n,y,4,4,n,14,y,2000,296000,Senior
73,f,11,15,87,380,0,3.5,63,70,7,y,n,y,y,3,3,y,17,n,,,Junior
74,f,1,24,89,350,0,3.5,64,72,8,n,n,y,y,4,1,n,16,y,2004,4000,Junior
75,f,12,11,89,150,0,3.79,61,71,6,y,n,n,y,3,2,n,14,y,1999,120000,Sophomore
76,m,2,1,88,200,0,4.2,71,66,10,n,n,n,y,8,15,n,16,y,2005,63000,Senior
77,m,10,26,87,300,0,3.9,69,63,10.5,n,n,y,y,21,2,n,14,y,2003,60000,Junior
78,m,11,22,89,504,0,3.8,72,67,10.5,n,n,n,y,4,10,n,13,n,,,Freshman
79,m,11,21,87,600,2,2.45,68,65,10.5,y,n,n,y,,5,n,17,y,2007,114000,Senior
80,f,3,5,90,250,0,4,65,69,6.5,y,n,y,n,3,10,n,15,y,2004,50000,Sophomore
81,m,3,8,89,400,0,3,69,69,10.5,y,n,n,y,4,3,n,19,y,2001,95000,Senior
82,f,3,5,89,400,0,3.6,70,75,10,y,n,n,n,10,10,n,16,y,2001,90000,Junior
83,m,7,11,87,440,0,2.8,71,67,11,y,y,n,y,10,7,n,14,y,2007,40,Senior
84,m,11,9,87,230,0,3.9,70,63,10.5,y,n,n,y,10,5,n,17,y,2003,89000,Senior
85,f,3,19,90,500,0,3.5,63,72,7,y,y,n,y,2,12,n,16,n,,,Sophomore
86,f,5,9,88,300,0,3.6,66,71,9,y,n,n,y,10,10,n,16,y,2006,50000,Junior
87,f,12,16,86,350,0,2.5,66,74,10,y,n,y,y,,0,n,15,y,,80000,Senior
88,f,5,13,89,105,0,4,67,75,7.5,n,y,y,y,10,20,n,13,y,2006,63500,Junior
89,f,8,18,89,650,0,3.9,59,69,7.5,y,n,y,y,5,4,n,15,y,2000,90000,Junior
90,m,8,13,88,350,0,3.98,69.5,65,9.5,n,n,y,y,4,3,n,16,y,2000,116000,Sophomore
91,f,10,24,89,520,0,3.9,65,72,8,y,y,y,y,6,8,n,18,y,2002,125000,Junior
92,m,7,6,89,380,0,4.25,75,68,11.5,y,y,n,y,4,10,n,14,y,2009,1049,Junior
93,m,10,15,88,60,0,,72,68,11,y,y,n,y,6,16,n,18,y,2000,74000,Senior
94,m,11,7,87,200,10,3.8,74,68,12,y,n,n,y,10,6,n,15,y,2001,131000,Junior
95,f,8,7,89,650,0,3.9,65,74,7.5,y,n,y,y,6,12,n,17,y,2005,63000,Sophomore
96,f,11,16,89,400,0,3.75,67,74,8,y,n,n,y,2,6,n,18,y,2001,113000,Sophomore
97,f,4,3,89,350,0,4,66,72,8,y,y,y,y,5,3,n,15,y,2005,50000,Junior
98,f,11,26,89,500,2,3.25,65,73,6.5,y,n,n,y,0,3.5,n,16,y,,25000,Junior
99,f,6,24,88,150,0,3.7,67,73,9.5,y,n,n,y,6,5,n,17,y,2004,117000,Senior
100,m,5,15,88,200,0,4,77,65,14,y,n,n,y,5,2,n,13,y,2000,120000,Junior
101,f,4,27,89,400,0,3.7,67,72,9,y,y,n,y,4,6,n,17,n,,,Sophomore
102,f,5,31,90,100,0,4,68,73,9,y,n,y,y,10,2,n,12,y,2004,25000,Sophomore
103,f,5,29,88,250,0,3.8,67,74,10,y,n,y,y,10,6,n,15,y,1999,180000,Freshman
104,f,5,24,89,600,0,3.2,67,72,7,y,n,y,y,2,4,n,17,y,2007,34002,Sophomore
105,m,10,1,89,400,0,3.05,70.5,65,11.5,y,n,n,y,7,7,n,16,y,2007,30000,Junior
106,m,9,18,88,447,0,3.5,74,67,11,n,n,n,y,10,5,n,15,y,1998,150000,Junior
107,m,9,23,89,300,0,3.2,74,68,12,n,n,n,y,6,4,n,16,y,1997,130650,Sophomore
108,m,6,19,89,350,0,3.6,71,66,11,n,n,n,n,15,3,n,12,y,2007,22000,Sophomore
109,m,8,27,90,350,0,3.75,,62,9,y,n,n,y,10,8,n,15,y,1999,145000,Sophomore
110,f,4,11,89,400,0,4,67,69,9,y,n,n,y,25,2,n,16,y,2001,89000,Senior
111,f,12,6,89,200,0,3.9,70,76,8,y,n,y,y,2,15,y,15,y,1999,140000,Sophomore
112,f,9,25,89,430,0,3.4,66,72,7,y,n,n,y,10,3,n,16,y,2000,65000,Junior
113,f,12,26,88,669,0,3.2,66,74,10,n,y,y,n,6,6,n,16,n,,,Sophomore
114,f,10,12,90,300,0,3.5,61,79,8,y,n,n,y,10,6,n,15,y,2007,33000,Sophomore
115,f,1,18,88,250,0,3.7,62,71,6.5,y,n,n,y,10,6,n,13,y,2001,52000,Senior
116,f,5,29,90,500,0,3.7,64,72,8,y,n,n,y,0,3,n,17,y,2000,200000,Sophomore
117,m,3,5,88,500,0,3.4,75,66,13,y,n,n,y,3,3,n,21,y,1999,130000,Senior
118,f,3,24,89,450,0,3.9,62,66,7.5,y,y,y,y,5,0,n,17,y,1994,,Junior
119,f,12,20,89,530,0,3.9,66,73,8,y,n,n,n,5,3,n,17,y,2003,89000,Sophomore
120,m,9,25,89,660,0,2.4,74,69,12,n,y,y,y,0,6,n,15,y,2004,140000,Sophomore
121,f,8,8,89,300,0,3.8,62,70,7.5,y,n,y,y,3,2,n,16,y,1999,141000,Sophomore
122,m,7,21,90,300,0,,71,68,11.5,n,n,n,y,10,0,n,16,y,2006,29000,Sophomore
123,f,11,21,89,375,0,3.8,65,72,8.5,y,n,n,y,12,6,n,16,y,2006,28000,Sophomore
124,m,7,12,89,650,0,3.5,69,66,11,n,n,n,y,27,11,n,16,y,1996,170000,Freshman
125,f,5,27,89,200,0,4,72,72,10,n,n,n,y,0,4,n,18,y,1998,29000,Junior
126,m,6,16,81,0,0,2,74,68,12,y,y,n,y,4,3,y,15,y,2008,12000,Senior
127,f,2,5,90,530,0,3.4,65,73,9,y,n,y,y,3,1,n,17,y,1993,220000,Freshman
128,f,3,23,89,200,0,4,62,71,6.5,y,n,n,y,2,6,n,16,y,2002,110000,Junior
129,f,8,12,90,400,0,4,61,,6,y,n,y,y,1,4,y,17,n,,,Sophomore
130,f,12,4,83,500,0,3,67,72,9,y,n,y,y,14,4,n,16,y,2000,175000,Senior
131,f,7,5,90,420,0,3.6,63,74,8,y,n,n,y,15,6,n,16,y,2006,19000,Sophomore
132,f,5,18,90,600,0,3.7,64,72,8,y,n,y,y,4,6,n,16,y,1997,195000,Sophomore
133,f,12,10,89,418,0,3.6,66,72,8,y,n,n,n,2,0,n,16,y,2000,,Sophomore
134,f,1,18,89,408,0,3.9,66,73,8.5,y,y,y,y,0,7.5,n,15,y,1999,176000,Sophomore
135,f,11,5,89,600,0,3.65,68,72,10,n,n,n,y,6,5,n,15,y,2006,70000,Sophomore
136,f,3,22,90,200,0,3.9,66,72,9,y,n,y,y,2,14,n,16,y,1999,110000,Freshman
137,f,3,8,89,260,0,3.5,66,74,8.5,y,n,n,y,1,3,n,14,n,,,Senior
138,f,3,24,88,100,0,3.7,66,72,8,y,n,n,y,3,8,n,16,y,1998,159000,Junior
139,f,11,12,89,735,0,3.4,61,67,7.5,y,n,n,y,5,10,n,14,n,,,Sophomore
140,m,7,11,89,486,0,3.3,68,62,10,n,n,n,y,0,6,n,14,n,,,Sophomore
141,f,3,16,89,400,0,3.3,67,73,9,n,n,n,y,6,0,n,13,y,2000,111000,Junior
142,m,6,29,90,350,0,4,80,70,15,n,n,n,y,5,15,n,18,n,,,Freshman
143,f,10,19,87,400,0,3.5,63,75,8.5,y,y,n,y,6,1,n,16,y,2007,69000,Senior
144,f,5,9,90,600,0,3.5,62,73,7.5,n,n,n,y,16,3,n,17,y,2003,49000,Sophomore
145,f,1,4,90,183,0,3.25,67,72,10,y,n,n,y,3,1,n,16,y,2003,42300,Sophomore
146,f,3,1,90,250,0,3.75,66,72,7,y,n,y,y,5,4,n,16,n,,,Sophomore
147,f,3,1,90,300,0,3.65,65,72,7,y,n,y,y,5,,n,16,n,,,Sophomore
148,f,3,22,90,60,0,3.6,66,73,8.5,n,n,y,y,4,2,n,17,y,1990,98000,Sophomore
149,f,1,29,89,500,0,3.98,70,78,11,y,y,n,y,25,17.5,n,17,y,2007,,Junior
150,m,1,8,88,150,0,2.7,73,62,10.5,y,n,n,y,3,3,n,17,y,2008,25000,Senior
151,f,6,17,90,700,0,3.5,63,71,6.5,y,n,n,y,6,0,n,16,y,2005,58000,Freshman
152,f,2,19,90,500,0,3.8,64,72,8,y,n,n,y,2.5,1,n,16,y,2007,23000,Sophomore
153,m,6,23,89,600,0,2.8,72,67,12,n,n,y,y,4,5,n,14,y,2003,96878,Sophomore
154,m,5,9,89,319,0,3.87,73,68,10.5,y,n,n,y,10,20,n,16,y,2006,72519,Sophomore
155,f,9,13,89,600,0,,67,72,8,n,n,y,y,,3.5,n,17,y,2005,53000,Junior
156,m,12,27,89,300,0,3.5,68,63,10,n,n,n,y,15,10,n,17,y,2008,21000,Sophomore
157,m,1,24,90,175,0,3,70,67,11,y,n,n,n,25,0,n,15,n,,,Sophomore
158,f,12,9,89,500,0,3.8,68,75,8.5,y,n,y,y,3,8,n,15,y,2002,95000,Sophomore
159,f,12,13,89,250,0,3.63,70,75,10,y,y,n,y,3,5,n,15,y,2009,6000,Sophomore
160,m,7,19,89,150,0,3.75,75,70,13,y,n,n,y,5,10,n,15,y,2006,27000,Sophomore
161,m,10,26,89,365,0,3.8,70,67,11,n,n,n,y,8,8,n,15,y,1999,60000,Sophomore
162,f,1,1,90,120,0,4.6,64,73,9,n,n,n,y,2,2,n,12,n,,,Sophomore
163,m,1,13,89,250,0,4,68,65,10,n,n,y,y,8,10,n,13,y,1994,120000,Sophomore
164,f,10,30,88,375,7,3.5,65,72,7,y,y,n,y,10,0,n,15,y,2003,150000,Junior
165,m,12,13,89,400,0,3.8,74,72,11,y,n,n,y,8,4,n,14,y,2000,103000,Sophomore
166,f,9,3,90,450,0,3.8,63,69,9,n,y,n,y,3.5,1.5,n,15,n,,,Sophomore
167,m,4,11,90,620,0,3.75,67.5,74,8,y,n,n,y,6,11,n,15,y,2004,,Sophomore
168,f,3,21,90,150,0,3.9375,66,77,8,n,y,n,n,6,2,n,17,n,,,Sophomore
169,f,7,14,90,300,0,3.8,62,72,7,y,n,n,y,2,0,y,15,y,2007,15000,Sophomore
170,m,9,19,87,416,10,4,72,68,13,n,n,n,y,4,5,n,13,y,2004,55000,Junior
171,m,9,20,82,595,20,3.8,74,70,12,y,n,n,y,12,3,n,18,y,1990,175000,Senior
172,f,9,1,89,540,0,4.1,62,72,6,n,n,n,y,6,3,n,16,y,2000,109000,Sophomore
173,f,6,15,89,397,0,4,63,72,8,y,n,n,y,2,9,n,17,y,1996,70000,Junior
174,f,11,30,89,350,0,4,66,72,9,y,n,y,y,5,6,n,17,y,2008,19300,Sophomore
175,m,4,16,90,350,0,3.6563,73,65,11,y,n,y,y,3,4,n,16,y,2003,62000,Sophomore
176,m,11,23,90,376,0,3.8,73,69,12,n,n,n,n,5,7,y,16,n,,,Junior
177,f,2,21,90,495,0,3.7,62,71,6.5,n,y,n,y,20,5,n,16,y,2008,10500,Sophomore
178,f,4,5,90,450,0,3.6,69,73,10,y,n,n,y,7,5,n,17,y,2001,123000,Freshman
180,m,10,6,89,430,0,3.9,70,66,11,y,n,n,y,12,9,n,16,y,2006,41396,Sophomore
181,m,2,15,90,355,1,3.73,69,64,10.5,y,n,n,y,6,0,n,15,y,1988,189247,Sophomore
182,m,9,3,90,459,0,3.8,70,66,11,y,n,y,y,4,8,y,15,y,2008,21000,Sophomore
183,f,12,19,89,400,0,3.9,65,72,8,y,n,n,y,5,2,n,15,y,2001,53000,Sophomore
184,m,6,11,90,384,0,4,75,66,14,n,n,n,y,20,1,n,13,y,2003,130000,Freshman
185,m,3,26,90,165,0,3.6,70,68,12,y,n,n,y,5,0,n,15,y,1997,173400,Sophomore
186,m,4,19,90,300,0,3.8,69.5,60,11.5,y,y,n,y,2,10,n,14,y,2000,,Sophomore
187,m,10,24,89,400,1,4,73,67,12,n,n,n,y,14,10,y,15,y,2001,96700,Sophomore
188,m,3,10,88,574,0,3.85,72,65,12,y,n,n,y,15,7.5,n,20,y,2000,135000,Junior
189,m,11,28,89,180,0,3.4,76,66,13,y,n,n,y,14,5,n,13,y,2000,98500,Sophomore
190,m,8,18,90,400,0,3.9,79,68.5,14,n,n,n,y,8,3.5,n,15,y,2002,85000,Sophomore
191,f,7,29,90,244,0,3.5,67,72,9,n,n,n,y,15,4,n,15,y,2005,60000,Sophomore
192,f,10,15,87,550,0,3.9,64,74,5.5,y,y,n,n,0,9,n,17,y,2000,90000,Sophomore
193,m,10,17,89,400,0,3.8,68,65,10,n,n,n,n,15,8,n,14,y,1989,89000,Sophomore
194,m,3,25,90,326,0,3.75,72,67,9.5,y,n,y,y,6,10,n,14,y,2003,112127,Sophomore
